"Afghanistan",0.0141,0.0141
"Albania",0.0920,0.0920
"Algeria",0.0115,0.0115
"American Samoa",0.0734,0.0734
"Andorra",0.1599,0.1599
"Angola",0.0039,0.0039
"Anguilla",0.0635,0.0635
"Antigua and Barbuda",0.1003,0.1003
"Argentina",0.2145,0.2145
"Armenia",0.2230,0.2230
"Aruba",0.1686,0.1686
"Australia",0.0382,0.0382
"Austria",0.1691,0.1691
"Azerbaijan",0.0670,0.0670
"Bahamas",0.1374,0.1374
"Bahrain",0.0765,0.0765
"Bangladesh",0.0125,0.0125
"Barbados",0.1129,0.1129
"Belarus",0.0510,0.0510
"Belgium",0.2262,0.2262
"Belize",0.1198,0.1198
"Benin",0.0010,0.0010
"Bermuda",0.1532,0.1532
"Bhutan",0.0018,0.0018
"Bolivia",0.1402,0.1402
"Bonaire Sint Eustatius and Saba",0.1056,0.1056
"Bosnia and Herzegovina",0.3496,0.3496
"Botswana",0.0716,0.0716
"Brazil",0.2390,0.2390
"British Virgin Islands",0.1284,0.1284
"Brunei",0.0185,0.0185
"Bulgaria",0.3755,0.3755
"Burkina Faso",0.0012,0.0012
"Burundi",0.0001,0.0001
"Cambodia",0.0156,0.0156
"Cameroon",0.0052,0.0052
"Canada",0.0883,0.0883
"Cape Verde",0.0521,0.0521
"Cayman Islands",0.0276,0.0276
"Central African Republic",0.0017,0.0017
"Chad",0.0009,0.0009
"Chile",0.2159,0.2159
"China",0.0029,0.0029
"Colombia",0.2046,0.2046
"Comoros",0.0153,0.0153
"Congo",0.0046,0.0046
"Cook Islands",0.0094,0.0094
"Costa Rica",0.1210,0.1210
"Cote d'Ivoire",0.0020,0.0020
"Croatia",0.2889,0.2889
"Cuba",0.0498,0.0498
"Curacao",0.0987,0.0987
"Cyprus",0.0878,0.0878
"Czechia",0.2927,0.2927
"Democratic Republic of Congo",0.0011,0.0011
"Denmark",0.0846,0.0846
"Djibouti",0.0133,0.0133
"Dominica",0.0878,0.0878
"Dominican Republic",0.0320,0.0320
"Ecuador",0.1521,0.1521
"Egypt",0.0163,0.0163
"El Salvador",0.0490,0.0490
"Equatorial Guinea",0.0087,0.0087
"Eritrea",0.0021,0.0021
"Estonia",0.1372,0.1372
"Eswatini",0.0858,0.0858
"Ethiopia",0.0044,0.0044
"Faeroe Islands",0.0375,0.0375
"Fiji",0.0648,0.0648
"Finland",0.0865,0.0865
"France",0.1759,0.1759
"French Guiana",0.0933,0.0933
"French Polynesia",0.1629,0.1629
"Gabon",0.0092,0.0092
"Gambia",0.0115,0.0115
"Georgia",0.2970,0.2970
"Germany",0.1304,0.1304
"Ghana",0.0036,0.0036
"Gibraltar",0.3029,0.3029
"Greece",0.2122,0.2122
"Greenland",0.0348,0.0348
"Grenada",0.1422,0.1422
"Guadeloupe",0.1683,0.1683
"Guam",0.1560,0.1560
"Guatemala",0.0767,0.0767
"Guernsey",0.0628,0.0628
"Guinea",0.0024,0.0024
"Guinea-Bissau",0.0061,0.0061
"Guyana",0.1042,0.1042
"Haiti",0.0054,0.0054
"Honduras",0.0786,0.0786
"Hungary",0.3340,0.3340
"Iceland",0.0254,0.0254
"India",0.0272,0.0272
"Indonesia",0.0399,0.0399
"Iran",0.1182,0.1182
"Iraq",0.0437,0.0437
"Ireland",0.1226,0.1226
"Isle of Man",0.0933,0.0933
"Israel",0.0895,0.0895
"Italy",0.2282,0.2282
"Jamaica",0.0773,0.0773
"Japan",0.0273,0.0273
"Jersey",0.0946,0.0946
"Jordan",0.0901,0.0901
"Kazakhstan",0.0685,0.0685
"Kenya",0.0077,0.0077
"Kiribati",0.0139,0.0139
"Kosovo",0.1353,0.1353
"Kuwait",0.0470,0.0470
"Kyrgyzstan",0.0141,0.0141
"Laos",0.0070,0.0070
"Latvia",0.2466,0.2466
"Lebanon",0.1402,0.1402
"Lesotho",0.0234,0.0234
"Liberia",0.0042,0.0042
"Libya",0.0669,0.0669
"Liechtenstein",0.1606,0.1606
"Lithuania",0.2325,0.2325
"Luxembourg",0.1026,0.1026
"Madagascar",0.0034,0.0034
"Malawi",0.0093,0.0093
"Malaysia",0.0682,0.0682
"Maldives",0.0425,0.0425
"Mali",0.0025,0.0025
"Malta",0.1075,0.1075
"Marshall Islands",0.0404,0.0404
"Martinique",0.1785,0.1785
"Mauritania",0.0159,0.0159
"Mauritius",0.0459,0.0459
"Mayotte",0.0461,0.0461
"Mexico",0.2022,0.2022
"Micronesia (country)",0.0505,0.0505
"Moldova",0.2572,0.2572
"Monaco",0.1186,0.1186
"Mongolia",0.0499,0.0499
"Montenegro",0.3016,0.3016
"Montserrat",0.0984,0.0984
"Morocco",0.0321,0.0321
"Mozambique",0.0049,0.0049
"Myanmar",0.0246,0.0246
"Namibia",0.1164,0.1164
"Nauru",0.0079,0.0079
"Nepal",0.0295,0.0295
"Netherlands",0.1027,0.1027
"New Caledonia",0.1033,0.1033
"New Zealand",0.0254,0.0254
"Nicaragua",0.0029,0.0029
"Niger",0.0009,0.0009
"Nigeria",0.0011,0.0011
"North Macedonia",0.3362,0.3362
"Northern Mariana Islands",0.0453,0.0453
"Norway",0.0508,0.0508
"Oman",0.0764,0.0764
"Pakistan",0.0098,0.0098
"Palau",0.0439,0.0439
"Palestine",0.0784,0.0784
"Panama",0.1496,0.1496
"Papua New Guinea",0.0045,0.0045
"Paraguay",0.1999,0.1999
"Peru",0.5049,0.5049
"Philippines",0.0359,0.0359
"Poland",0.2070,0.2070
"Portugal",0.1824,0.1824
"Puerto Rico",0.1142,0.1142
"Qatar",0.0198,0.0198
"Romania",0.2370,0.2370
"Russia",0.1790,0.1790
"Rwanda",0.0076,0.0076
"Saint Barthelemy",0.0368,0.0368
"Saint Kitts and Nevis",0.0808,0.0808
"Saint Lucia",0.1652,0.1652
"Saint Martin (French part)",0.1033,0.1033
"Saint Pierre and Miquelon",0.0275,0.0275
"Saint Vincent and the Grenadines",0.0859,0.0859
"Samoa",0.0130,0.0130
"San Marino",0.2838,0.2838
"Sao Tome and Principe",0.0247,0.0247
"Saudi Arabia",0.0214,0.0214
"Senegal",0.0091,0.0091
"Serbia",0.1666,0.1666
"Seychelles",0.1276,0.1276
"Sierra Leone",0.0012,0.0012
"Singapore",0.0171,0.0171
"Sint Maarten (Dutch part)",0.1451,0.1451
"Slovakia",0.2544,0.2544
"Slovenia",0.2874,0.2874
"Solomon Islands",0.0217,0.0217
"Somalia",0.0056,0.0056
"South Africa",0.1263,0.1263
"South Korea",0.0320,0.0320
"South Sudan",0.0011,0.0011
"Spain",0.1873,0.1873
"Sri Lanka",0.0493,0.0493
"Sudan",0.0074,0.0074
"Suriname",0.1502,0.1502
"Sweden",0.1601,0.1601
"Switzerland",0.1204,0.1204
"Syria",0.0102,0.0102
"Tajikistan",0.0011,0.0011
"Tanzania",0.0008,0.0008
"Thailand",0.0271,0.0271
"Timor",0.0088,0.0088
"Togo",0.0023,0.0023
"Tonga",0.0109,0.0109
"Trinidad and Tobago",0.1678,0.1678
"Tunisia",0.1645,0.1645
"Turkey",0.0811,0.0811
"Turks and Caicos Islands",0.0573,0.0573
"Tuvalu",0.0088,0.0088
"Uganda",0.0057,0.0057
"Ukraine",0.1813,0.1813
"United Arab Emirates",0.0189,0.0189
"United Kingdom",0.2420,0.2420
"United States",0.2283,0.2283
"United States Virgin Islands",0.0843,0.0843
"Uruguay",0.1516,0.1516
"Uzbekistan",0.0025,0.0025
"Vanuatu",0.0042,0.0042
"Venezuela",0.0144,0.0144
"Vietnam",0.0288,0.0288
"Wallis and Futuna",0.0631,0.0631
"Yemen",0.0049,0.0049
"Zambia",0.0144,0.0144
"Zimbabwe",0.0233,0.0233
